First Name,Last Name,Age,Rank,Classification,Date of Incident,Date of Death,Cause Of Death,Nature Of Death,Duty,Activity,Emergency,Property Type,
Richard,Spink,48,Fire Lieutenant,Career,"Feb 13, 2000","Feb 13, 2000",Stress/Overexertion,Heart Attack,Training,Support,No,Street/Road,
Kimberly,Smith,30,Firefighter,Career,"Feb 14, 2000","Feb 14, 2000",Trapped,Suffocation,On-Scene Fire,Search and Rescue,Yes,Public Assembly,
Lewis,Mayo III,44,Firefighter,Career,"Feb 14, 2000","Feb 14, 2000",Trapped,Suffocation,On-Scene Fire,Search and Rescue,Yes,Public Assembly,
Paul,Cooper,26,Firefighter,Volunteer,"Feb 11, 2000","Feb 14, 2000",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
James,Geiger,54,Firefighter-EMT,Volunteer,"Feb 19, 2000","Feb 19, 2000",Stress/Overexertion,Heart Attack,Response,Personal Vehicle Driver/Passenger,Yes,Outdoor Property,
Evangelino,Rodriguez,53,Sergeant,Career,"Feb 21, 2000","Feb 21, 2000",Impact,Trauma,On-Scene Fire,Water Supply,Yes,Store/Office,
Charles,"Klick, Sr.",67,Incident Commander,Volunteer,"Jan 17, 2000","Feb 23, 2000",Stress/Overexertion,Stroke,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Robert,Jackson,35,Firefighter,Volunteer,"Feb 29, 2000","Feb 29, 2000",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
David,Sutton,27,Firefighter,Volunteer,"Mar 4, 2000","Mar 4, 2000",Exposure,Suffocation,On-Scene Fire,Search and Rescue,Yes,Residential,
Donald,Wilson,50,Assistant Chief,Volunteer,"Mar 6, 2000","Mar 6, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Ventilation,Yes,Residential,
William,Blakemore,48,Private,Career,"Mar 8, 2000","Mar 8, 2000",Impact,Violence,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Javier,Lerma,41,Lieutenant,Career,"Mar 8, 2000","Mar 8, 2000",Impact,Violence,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Jerry,Coppin,56,Training Officer,Volunteer,"Mar 7, 2000","Mar 11, 2000",Stress/Overexertion,Stroke,On-Scene Emergency,Other,Yes,Outdoor Property,
Robert,Buhler,62,Firefighter,Volunteer,"Mar 6, 2000","Mar 16, 2000",Exposure,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
David,Sharp II,31,Firefighter/Engineer,Career,"Mar 17, 2000","Mar 17, 2000",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Kevin,Sterenchuk,48,Administrative District Chief,Career,"Mar 27, 2000","Mar 27, 2000",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Michael,Queen,30,Chief,Volunteer,"Mar 28, 2000","Mar 28, 2000",Impact,Trauma,On-Duty,In-Station Duties,No,N/A,
Kendall,Bryant,36,Firefighter/EMT,Career,"Mar 31, 2000","Mar 31, 2000",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Mike,Shortt,44,Fire Chief,Career,"Mar 15, 2000","Mar 31, 2000",Stress/Overexertion,Heart Attack,Training,Other,No,N/A,
Jessie,Y'Barbo,54,Forest Technician III,Career,"Mar 13, 2000","Apr 7, 2000",Vehicle Collision,Burns,On-Scene Fire,Vehicle Passenger,No,Outdoor Property,
James,Griffith,25,Firefighter/Training Officer,Volunteer,"Apr 7, 2000","Apr 7, 2000",Impact,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
David,Maisano,38,Captain,Volunteer,"Apr 4, 2000","Apr 8, 2000",Fall,Other,On-Scene Fire,Support,Yes,Residential,
Michael,Baughn,46,Firefighter,Volunteer,"Apr 11, 2000","Apr 11, 2000",Stress/Overexertion,Heart Attack,Training,Search and Rescue,No,Vacant Property,
Rickey,Davis,33,Firefighter/Paramedic,Career,"Apr 20, 2000","Apr 20, 2000",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Frederick,Brain,76,Fire Police,Volunteer,"Mar 18, 2000","Apr 24, 2000",Stress/Overexertion,Heart Attack,On-Scene Emergency,Other,Yes,Street/Road,
L.,Merrell,43,Lieutenant,Career,"Apr 29, 2000","Apr 29, 2000",Impact,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
David,Liston,28,Smokejumper,Career,"Apr 29, 2000","Apr 29, 2000",Impact,Trauma,Training,Other,No,Outdoor Property,
Arnold,"Blankenship, III",27,Second Assistant Chief,Volunteer,"Apr 30, 2000","Apr 30, 2000",Exposure,Suffocation,Training,Other,No,Residential,
Robert,"Brannon, Jr.",43,Lieutenant,Career,"Apr 26, 2000","May 4, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Carl,Payne,66,"Pilot, Wildland",Career,"May 7, 2000","May 7, 2000",Impact,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Kenneth,Jesse,80,Fire Police Officer,Volunteer,"May 8, 2000","May 8, 2000",Stress/Overexertion,Heart Attack,Response,Support,Yes,Street/Road,
Arthur,"Nilson, Jr.",75,Company Member,Volunteer,"May 13, 2000","May 13, 2000",Stress/Overexertion,Heart Attack,On-Duty,Support,No,N/A,
Samuel,Tobias,47,Air Tactical Group Supv. Wildland,Career,"May 15, 2000","May 15, 2000",Impact,Trauma,On-Scene Fire,Support,Yes,Outdoor Property,
Leo,Koponen,49,Air Attack Pilot Wildland Contract,Career,"May 15, 2000","May 15, 2000",Impact,Trauma,On-Scene Fire,Support,Yes,Outdoor Property,
Evan,Shirk,27,Firefighter,Volunteer,"May 27, 2000","May 27, 2000",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Lyndell,Smith,46,Firefighter,Volunteer,"Jun 1, 2000","Jun 1, 2000",Impact,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
George,Burton,48,Firefighter/Rotor Craft Pilot,Career,"Jun 4, 2000","Jun 4, 2000",Impact,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Whitney,"Teehan, Jr.",66,Captain,Volunteer,"Jun 25, 2000","Jun 25, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Incident Command,Yes,Manufacturing,
Nathan,Pescatore,17,Firefighter,Volunteer,"Jul 2, 2000","Jul 2, 2000",Impact,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Phillip,Ridings,52,Firefighter,Volunteer,"Jul 15, 2000","Jul 15, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Richard,Stark,62,Ambulance Captain,Volunteer,"Aug 2, 2000","Aug 2, 2000",Stress/Overexertion,Heart Attack,On-Scene Emergency,EMS/Patient Care,Yes,Street/Road,
Phillip,Conner,29,Seasonal Wildland Firefighter,Volunteer,"Aug 3, 2000","Aug 3, 2000",Impact,Trauma,Response,Support,Yes,Outdoor Property,
Bradley,Pierce,27,Firefighter/Paramedic,Career,"Aug 6, 2000","Aug 6, 2000",Stress/Overexertion,Heart Attack,On-Duty,Other,No,N/A,
Lisa,Farrow,30,Firefighter,Volunteer,"Aug 9, 2000","Aug 9, 2000",Stress/Overexertion,Suffocation,On-Scene Fire,Support,Yes,Residential,
Steven,Wilmot,47,Captain,Career,"Jul 18, 2000","Aug 9, 2000",Fall,Trauma,On-Duty,Other,Yes,Residential,
James,Burnett,51,District Forester,Career,"Aug 11, 2000","Aug 11, 2000",Exposure,Burns,On-Scene Fire,Water Supply,Yes,Outdoor Property,
Logan,Fields,51,Assistant Chief,Career,"Aug 12, 2000","Aug 12, 2000",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,N/A,
Lester,Shadrick,53,IFR Captain,Volunteer,"Aug 13, 2000","Aug 13, 2000",Impact,Trauma,On-Duty,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Grant,Trick,49,First Assistant Chief,Volunteer,"Aug 13, 2000","Aug 13, 2000",Stress/Overexertion,Heart Attack,On-Duty,Other,No,N/A,
Warren,Smith,28,"Firefighter, Private",Career,"Aug 13, 2000","Aug 13, 2000",Trapped,Suffocation,Training,Other,No,Outdoor Property,
James,Renfroe,47,Assistant Chief,Volunteer,"Aug 14, 2000","Aug 14, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Water Supply,Yes,Outdoor Property,
Robert,Crump,37,Firefighter,Career,"Aug 17, 2000","Aug 17, 2000",Trapped,Suffocation,On-Scene Emergency,Search and Rescue,Yes,Street/Road,
Michael,Bishop,27,Inmate Firefighter,Volunteer,"Aug 23, 2000","Aug 23, 2000",Exposure,Electrocution,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Rodgie,Braithwaite,26,Inmate Firefighter,Volunteer,"Aug 23, 2000","Aug 23, 2000",Exposure,Electrocution,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Jamie,"Quinones, Jr.",38,Firefighter,Career,"Aug 26, 2000","Aug 26, 2000",Impact,Violence,On-Duty,Other,No,Street/Road,
Albert,"Voris, Jr.",63,Lieutenant,Volunteer,"Sep 1, 2000","Sep 1, 2000",Impact,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
John,"Pritchett, Sr.",57,Fire Crew Chief,Career,"Aug 20, 2000","Sep 3, 2000",Exposure,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Earnest,Ousley,49,Lieutenant,Career,"Sep 4, 2000","Sep 4, 2000",Stress/Overexertion,Other,On-Duty,Water Supply,No,N/A,
Daniel,Yaklin,21,Lance Corporal,Career,"Sep 4, 2000","Sep 4, 2000",Impact,Trauma,On-Duty,Other,No,Street/Road,
Howard,Van Hoy,67,Assistant Chief,Volunteer,"Sep 5, 2000","Sep 5, 2000",Stress/Overexertion,Heart Attack,Training,Water Supply,No,Outdoor Property,
John,Slade,46,Lieutenant,Career,"Sep 2, 2000","Sep 5, 2000",Stress/Overexertion,Stroke,On-Scene Fire,Search and Rescue,Yes,Institutional,
David,Newman,40,Pilot,Career,"Sep 7, 2000","Sep 7, 2000",Impact,Trauma,On-Duty,Vehicle Passenger,No,Outdoor Property,
Michael,Fossett,45,Crew Chief,Career,"Sep 7, 2000","Sep 7, 2000",Impact,Trauma,On-Duty,Vehicle Driver,No,Outdoor Property,
Michael,Yahraus,32,Firefighter Paramedic,Career,"Sep 11, 2000","Sep 12, 2000",Impact,Trauma,Training,Other,No,Street/Road,
Robert,Humphrey,62,Firefighter,Volunteer,"Sep 17, 2000","Sep 17, 2000",Impact,Trauma,On-Scene Emergency,EMS/Patient Care,Yes,Street/Road,
George,Butler,47,Assistant Chief,Volunteer,"Sep 19, 2000","Sep 19, 2000",Stress/Overexertion,Heart Attack,On-Scene Emergency,Other,Yes,Street/Road,
Bernard,Scannell,70,Fire Police Captain,Volunteer,"Sep 21, 2000","Sep 21, 2000",Stress/Overexertion,Heart Attack,Response,Vehicle Driver,Yes,Street/Road,
Kevin,Harsbarger,36,Firefighter/Secretary,Volunteer,"Sep 24, 2000","Sep 24, 2000",Trapped,Suffocation,On-Scene Fire,Ventilation,Yes,Residential,
Paul,Husband,33,Firefighter,Career,"Sep 27, 2000","Sep 27, 2000",Impact,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
Thomas,Gotkowski,55,Captain,Volunteer,"Oct 1, 2000","Oct 1, 2000",Stress/Overexertion,Heart Attack,On-Duty,Ventilation,No,Residential,
Richard,LeClair,53,Captain,Career,"Oct 10, 2000","Oct 11, 2000",Stress/Overexertion,Other,On-Duty,In-Station Duties,No,N/A,
David,Fitzgerald,63,Firefighter,Career,"Oct 13, 2000","Oct 13, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Support,Yes,Street/Road,
Kenneth,Miller,65,Captain,Volunteer,"Oct 16, 2000","Oct 16, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
James,Reavis,69,Captain,Volunteer,"Oct 26, 2000","Oct 26, 2000",Stress/Overexertion,Heart Attack,Response,Personal Vehicle Driver/Passenger,Yes,Residential,
Robert,Samanas,53,Firefighter/Paramedic,Career,"Oct 31, 2000","Oct 31, 2000",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,N/A,
Gail,VanAuken,41,Firefighter,Volunteer,"Nov 2, 2000","Nov 2, 2000",Impact,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
Jared,McCormick,19,Firefighter,Volunteer,"Nov 2, 2000","Nov 2, 2000",Impact,Trauma,On-Duty,Other,No,Street/Road,
Albert,Rathbun,69,Firefighter,Volunteer,"Oct 8, 2000","Nov 8, 2000",Exposure,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
James,"Hill, Sr.",68,Firefighter-Safety Officer,Volunteer,"Nov 9, 2000","Nov 9, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Kenneth,Kerr,44,Firefighter,Career,"Nov 15, 2000","Nov 15, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Phillip,Smith,49,Driver/Operator Engineer,Career,"Nov 16, 2000","Nov 16, 2000",Stress/Overexertion,Heart Attack,Training,Advance Hose Lines/Fire Attack,No,Outdoor Property,
Kyle,Hendrick,19,Firefighter,Volunteer,"Nov 16, 2000","Nov 16, 2000",Impact,Trauma,Training,Vehicle Driver,No,Street/Road,
Thomas,Hazaz,69,Fire-Police Lieutenant,Volunteer,"Nov 17, 2000","Nov 17, 2000",Stress/Overexertion,Heart Attack,On-Scene Emergency,Other,Yes,Street/Road,
Marvin,Bartholemew,30,Firefighter II,Career,"Nov 25, 2000","Nov 25, 2000",Trapped,Burns,On-Scene Fire,Search and Rescue,Yes,Residential,
Daniel,King,21,Firefighter,Volunteer,"Nov 26, 2000","Nov 26, 2000",Impact,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Elwood,Queen,67,Firefighter,Volunteer,"Nov 29, 2000","Nov 30, 2000",Stress/Overexertion,Heart Attack,On-Scene Emergency,Vehicle Driver,Yes,Street/Road,
George,Cardozo,80,Firefighter,Volunteer,"Dec 1, 2000","Dec 1, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Support,Yes,Residential,
Edward,Russ,39,Firefighter,Volunteer,"Dec 11, 2000","Dec 11, 2000",Impact,Trauma,On-Scene Emergency,Other,Yes,Street/Road,
Keith,Purcell,47,Firefighter,Volunteer,"Dec 17, 2000","Dec 17, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Scott,Gillen,37,Lieutenant,Career,"Dec 23, 2000","Dec 23, 2000",Impact,Trauma,On-Scene Emergency,Other,Yes,Street/Road,
David,Anderson,43,Firefighter,Career,"Dec 23, 2000","Dec 23, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Charles,"Lauber, Jr.",55,Commissioner,Volunteer,"Dec 17, 2000","Dec 24, 2000",Fall,Trauma,On-Duty,In-Station Duties,No,N/A,
Gregg,McLoughlin,39,Firefighter 1st Grade,Career,"Jan 4, 2001","Jan 4, 2001",Stress/Overexertion,Heart Attack,Training,In-Station Duties,No,N/A,
Gilmore ,Stitley III,54,Firefighter,Volunteer,"Jan 10, 2001","Jan 10, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Support,Yes,Outdoor Property,
Richard,Buongiorne,48,Firefighter,Volunteer,"Jan 9, 2001","Jan 10, 2001",Impact,Trauma,On-Scene Emergency,Other,Yes,Street/Road,
Andrew,White,27,Lieutenant,Volunteer,"Jan 11, 2001","Jan 11, 2001",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
William,Thompson,21,Firefighter,Volunteer,"Jan 12, 2001","Jan 12, 2001",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Donald,Franklin,42,Firefighter 1st Grade,Career,"Jan 13, 2001","Jan 13, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Ventilation,Yes,Residential,
Christopher,Towne,52,Lieutenant,Career,"Jan 18, 2001","Jan 18, 2001",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
James,Haigler,44,Driver / Operator,Career,"Jan 19, 2001","Jan 19, 2001",,Heart Attack,On-Duty,Other,No,N/A,
Johnny,McKinley,54,Firefighter,Volunteer,"Jan 25, 2001","Jan 25, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Vacant Property,
Cecil,Smith,76,Firefighter,Volunteer,"Jan 27, 2001","Jan 28, 2001",Impact,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Mathew,Smith,33,Firefighter,Career,"Feb 5, 2001","Feb 5, 2001",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
Ray,Lloyd,65,Firefighter,Volunteer,"Feb 7, 2001","Feb 7, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Vehicle Driver,Yes,Residential,
Clint,Talley,27,Lieutenant/EMT,Volunteer,"Feb 17, 2001","Feb 17, 2001",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Michael,McKean,32,Firefighter,Volunteer,"Feb 17, 2001","Feb 17, 2001",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Barry,Wollman,53,Firefighter,Career,"Feb 18, 2001","Feb 18, 2001",Stress/Overexertion,Heart Attack,Response,Vehicle Driver,Yes,Store/Office,
Donald,Nester,56,Chief Engineer,Volunteer,"Feb 18, 2001","Feb 19, 2001",Fall,Trauma,On-Duty,In-Station Duties,No,Store/Office,
James,Isberner,60,Firefighter,Volunteer,"Feb 12, 2001","Feb 19, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Lloyd,Curtis,75,Fire Police Officer,Volunteer,"Feb 19, 2001","Feb 19, 2001",Stress/Overexertion,Heart Attack,Response,Vehicle Passenger,Yes,Street/Road,
Dana,Johnson,46,Assistant Chief,Paid-on-Call,"Feb 25, 2001","Feb 26, 2001",Trapped,Trauma,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Institutional,
Christopher,Kobierowski,41,Assistant Chief,Volunteer,"Mar 6, 2001","Mar 6, 2001",Impact,Trauma,Response,Vehicle Driver,Yes,Residential,
Gerald,Fields,53,Driver/Engineer,Career,"Mar 10, 2001","Mar 10, 2001",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Bret,Tarver,40,Firefighter/Paramedic,Career,"Mar 14, 2001","Mar 14, 2001",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Store/Office,
Dan,Hupe,54,Firefighter,Career,"Mar 14, 2001","Mar 14, 2001",Stress/Overexertion,Heart Attack,On-Duty,Support,No,Store/Office,
William,James,65,Firefighter,Volunteer,"Mar 11, 2001","Mar 14, 2001",Stress/Overexertion,Heart Attack,Training,Other,No,N/A,
Robert ,Winner,54,Firefighter,Volunteer,"Mar 16, 2001","Mar 16, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Water Supply,Yes,Residential,
Jay,Shaffer,47,Captain,Volunteer,"Mar 17, 2001","Mar 17, 2001",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Outdoor Property,
Earl,Whitby,39,Engineer,Volunteer,"Mar 18, 2001","Mar 18, 2001",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Jonathon,Mullaney,36,Lieutenant,Volunteer,"Mar 18, 2001","Mar 18, 2001",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
William,Ellison III,38,Firefighter,Career,"Mar 8, 2001","Mar 20, 2001",Trapped,Burns,On-Scene Fire,Search and Rescue,Yes,Residential,
Arthur,Griffiths Sr.,65,Captain of Fire Police,Volunteer,"Mar 20, 2001","Mar 20, 2001",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
James,Heenan,37,Firefighter,Volunteer,"Jan 1, 2001","Mar 25, 2001",Trapped,Burns,On-Scene Fire,Search and Rescue,Yes,Residential,
Dale,Simpson,38,Firefighter,Volunteer,"Apr 2, 2001","Apr 2, 2001",Stress/Overexertion,Heart Attack,Response,Vehicle Driver,Yes,Storage,
Thomas,Paz,52,Engineer,Career,"Apr 2, 2001","Apr 2, 2001",Stress/Overexertion,Heart Attack,On-Duty,In-Station Duties,No,Store/Office,
Scott,Wilson,25,Firefighter/Paramedic,Volunteer,"Apr 8, 2001","Apr 8, 2001",Trapped,Suffocation,On-Scene Emergency,Search and Rescue,Yes,Outdoor Property,
Anthony,Murdick,25,Assistant Chief,Volunteer,"Apr 8, 2001","Apr 8, 2001",Trapped,Suffocation,On-Scene Emergency,Search and Rescue,Yes,Outdoor Property,
Brian,Richter,34,Firefighter,Volunteer,"Apr 8, 2001","Apr 8, 2001",Impact,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Richard,Canouse,69,Firefighter/Fire Police,Volunteer,"Apr 9, 2001","Apr 9, 2001",Stress/Overexertion,Heart Attack,Response,Vehicle Driver,Yes,Residential,
Brian,Reed,39,Firefighter II,Career,"Apr 10, 2001","Apr 10, 2001",Fall,Electrocution,On-Duty,In-Station Duties,No,Store/Office,
Woodrow,Poland Sr.,72,Firefighter-President,Volunteer,"Apr 19, 2001","Apr 19, 2001",Fall,Trauma,On-Duty,Other,No,Store/Office,
James,Rupkey,58,Lieutenant,Volunteer,"Apr 23, 2001","Apr 23, 2001",Stress/Overexertion,Heart Attack,Training,Search and Rescue,No,Store/Office,
Alberto,Tirado,40,Firefighter,Career,"May 9, 2001","May 9, 2001",Trapped,Suffocation,On-Scene Fire,Search and Rescue,Yes,Residential,
Willard,Christoffer,54,Probationary Firefighter,Career,"May 14, 2001","May 14, 2001",Fall,Trauma,Training,Other,No,Outdoor Property,
Ritchie,Eutsler,30,Captain,Career,"May 16, 2001","May 16, 2001",,Stroke,On-Duty,In-Station Duties,No,Store/Office,
Lawrence,Webb,36,Firefighter,Career,"May 22, 2001","May 22, 2001",Trapped,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Donald,Souza,59,Captain,Career,"Dec 23, 1995","May 30, 2001",,Electrocution,On-Scene Fire,Search and Rescue,Yes,Residential,
Travis,Brown,30,Firefighter,Volunteer,"Jun 2, 2001","Jun 2, 2001",Impact,Trauma,Response,Vehicle Passenger,Yes,Street/Road,
Willard,Paul,64,Firefighter,Volunteer,"Jun 2, 2001","Jun 2, 2001",Stress/Overexertion,Trauma,On-Duty,Other,No,Public Assembly,
Carl,"Cook, Sr.",55,Captain,Career,"Jun 15, 2001","Jun 15, 2001",Stress/Overexertion,Heart Attack,Training,Fitness Activity,No,Store/Office,
Brian,Fahey,46,Firefighter 1st Grade,Career,"Jun 17, 2001","Jun 17, 2001",Impact,Suffocation,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Downing,40,Firefighter 1st Grade,Career,"Jun 17, 2001","Jun 17, 2001",Impact,Trauma,On-Scene Fire,Ventilation,Yes,Store/Office,
Harry,Ford,50,Firefighter 1st Grade,Career,"Jun 17, 2001","Jun 17, 2001",Impact,Trauma,On-Scene Fire,Ventilation,Yes,Store/Office,
Jeremy,Chandler,27,Firefighter,Volunteer,"Jun 18, 2001","Jun 18, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Water Supply,Yes,Outdoor Property,
James,Clingenpeel,38,Captain,Volunteer,"Jun 10, 2001","Jun 20, 2001",Stress/Overexertion,Heart Attack,Training,Water Supply,No,Street/Road,
Jack,"Fowler, Jr.",46,Fire Chief,Career,"Jun 24, 2001","Jun 24, 2001",Impact,Trauma,Training,Personal Vehicle Driver/Passenger,No,Street/Road,
Thomas,Johnson,47,Forestry Officer,Wildland Full-Time,"Jul 26, 1995","Jun 28, 2001",Other,Other,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Joseph,Vargason,69,Fire-Police Officer,Volunteer,"Jun 30, 2001","Jun 30, 2001",Impact,Trauma,On-Scene Fire,Support,Yes,Street/Road,
Thomas,Craven,30,Squad Boss,Career,"Jul 10, 2001","Jul 10, 2001",Trapped,Suffocation,On-Scene Fire,Other,Yes,Outdoor Property,
Karen,Fitzpatrick,18,Firefighter,Career,"Jul 10, 2001","Jul 10, 2001",Trapped,Suffocation,On-Scene Fire,Other,Yes,Outdoor Property,
Devin,Weaver,21,Firefighter,Career,"Jul 10, 2001","Jul 10, 2001",Trapped,Suffocation,On-Scene Fire,Other,Yes,Outdoor Property,
Jessica,Johnson,19,Firefighter,Career,"Jul 10, 2001","Jul 10, 2001",Trapped,Suffocation,On-Scene Fire,Other,Yes,Outdoor Property,
Douglas,Gilbert,52,Pilot,Career,"Jul 10, 2001","Jul 10, 2001",Impact,Trauma,On-Scene Fire,Vehicle Driver,Yes,Outdoor Property,
Cynthia,Verburg,47,Firefighter-EMT,Career,"Jul 10, 2001","Jul 10, 2001",Impact,Trauma,On-Duty,Support,No,Street/Road,
